name,university,openalex_author_id,openalex_works_count,macro_tags,llm_study_tags,openalex_france_collab,french_institution_names,french_collab_topics,link_france,french_study_focus,france_connection_type
Eurydice Georganteli,Harvard,https://openalex.org/A5038353536,7,"Byzantine Art, Medieval Western Art, Prehistoric & Ancient Art, Religion & Sacred Art, European Art (General), Other / Uncategorized, Visual Culture Studies, Museum Studies, British Art, Heritage & Preservation","Byzantine art, Byzantine coins, Byzantine world, medieval Mediterranean, late medieval art, ancient Egyptian art, sacred and profane art, cultural routes in Europe, personalized cultural itineraries, travel and money in art, visual culture, museum collections, Eton College collections, University of Birmingham collections, transposed images, treasures of ancient Egypt, European cultural heritage",no,,,No,,none
Maria Gough,Harvard,https://openalex.org/A5112171612,26,"Avant-Garde Movements, Politics & Ideology in Art, Early 20th-Century Art, Other / Uncategorized, Modernism, Latin American Art, Museum Studies, Contemporary Art (21st century), Photography, Design & Decorative Arts, Exhibition History, War, Conflict & Memory, Graphic Arts & Illustration, Paris & Île-de-France, Painting, Media, Visual Culture Studies, French Art & Culture, Russian culture, Middle Eastern Art","Russian avant-garde, Constructivism, Soviet propaganda, Soviet art, Sergei Tret'iakov, Karl Ioganson, John Heartfield, Gustavs Klucis, Diego Rivera, Futurist museology, William Kentridge, Lotte Jacobi, Mikhail Larionov, Art and production, Art exhibitions, Art and memory, Art and reportage, Paris, Paris as Soviet avant-garde center, 20th-century art, Avant-garde art, Art and revolution, Art and politics, Portraiture, Art and media, Art and tourism, Art and museology, French art, Russian art, Central Asian art",no,,,Yes,"Paris, Paris as Soviet avant-garde center, French art",study
Alina Payne,Harvard,https://openalex.org/A5038293506,54,"Architecture, Renaissance Art, Baroque Art, Visual Culture Studies, Historiography of Art, Modernism, Craft & Vernacular Practices, Iconography & Iconology, Heritage & Preservation, Sculpture, Mediterranean Worlds, Italian Art & Architecture, 19th-Century Art, Early Modern Art, Art Theory & Aesthetics, Other / Uncategorized, Classical Antiquity, Eastern European Art, Byzantine Art, British Art, German-Speaking Worlds, Fin-de-Siècle & Symbolism, French Art & Culture","architectural history, Renaissance architecture, Italian Renaissance, Baroque architecture, architectural theory, ornament in architecture, materiality in architecture, architectural treatises, architectural criticism, visual culture, art history, architectural modernism, architectural principles, architectural poetics, crafting and scale, architectural invention, architectural literature, anthropomorphism in architecture, architectural ornamentation, architectural iconography, architecture and art, architectural style change, architectural heritage, portability of art and architecture, architecture and building science, architecture and sculpture, architectural order, architectural hand and making, architectural tropes, architectural revival, architectural culture and style, architectural empathy, architectural objects, architectural scale, architectural dialogues, globalized architectural knowledge, Mediterranean architecture, Italian architectural theory, sixteenth-century architecture, seventeenth-century architecture, nineteenth-century architectural revival, Bauhaus architecture, Le Corbusier, Gottfried Semper, Heinrich Wölfflin, Teofilo Gallaccini, Leon Battista Alberti, Vasari, Palladio, Vitruvius, Joseph Rykwert, Neagoe Basarab, Curtea de Argeş monastery church, Pergamon Altar, Rome, Siena, London, Adriatic region, Balkans, German art history, fin de siècle art history, French language scholarship, French translation, French architectural terminology, 19th-century French architectural revival, French Renaissance architecture studies",no,"Ecole Pratique des Hautes Etudes, Université Paris Sciences et Lettres",Article : ‘Compositio and the Materiality of Architecture in the Italian Renaissance’ (2009),Yes,"French language scholarship, French translation, French architectural terminology, 19th-century French architectural revival, French Renaissance architecture studies",both
Robin Kelsey,Harvard,https://openalex.org/A5060678371,28,"Photography, Archives & Libraries, Other / Uncategorized, Conceptual Art, Early 20th-Century Art, Environmental & Ecological Art, American Art (United States), Historiography of Art, Visual Culture Studies, French Art & Culture, Impressionism","photography studies, archive studies, historical photography, 19th-century photography, American West photography, timothy o'sullivan, wheeler survey, landscape photography, conceptual art and photography, stieglitz circle, materiality in photography, photographic archives, photography and chance, ecology and sustainability in art, legal and ethical history of photography, norman rockwell, historical interpretation, visual culture, American art, 19th-century American photography, photography and modernity, photographic controversies, French art, Giverny, François Brunet, Bronwyn Griffith, visions de l’ouest, French-American photographic connections",no,,,Yes,"French art, French-American photographic connections",study
David Roxburgh,Harvard,https://openalex.org/A5020261339,3,Sound Art & Music,"music performance studies, musical interpretation, extra-musical references, Shostakovich, viola sonata, 20th-century music, Soviet music, music exegesis, musical analysis",no,,,No,,none
Shawon Kinew,Harvard,https://openalex.org/A5064466384,1,"Sculpture, Baroque Art, Other / Uncategorized, Religion & Sacred Art, Colonial & Imperial Art","sculpture studies, 17th-century art, Baroque sculpture, Melchiorre Cafa, Rose of Lima, religious art, Latin American saints, colonial art, Catholic iconography",no,,,No,,none
Sarah Lewis,Harvard,https://openalex.org/A5063609461,852,"*Other / Uncategorized, Science, Technology & Art, Media and political communication and campaigns, Environmental & Ecological Art, Archives & Libraries, British Art, French Art & Culture, French Colonial & Imperial Contexts, Paris & Île-de-France, Museum Studies, 19th-Century Art, Francophone Worlds","public health, tobacco control, smoking cessation, nicotine replacement therapy, pregnancy and smoking, electronic cigarettes, mass media campaigns, lung function, asthma epidemiology, allergic disease, respiratory health, environmental tobacco smoke, secondhand smoke exposure, health inequalities, qualitative research, randomized controlled trials, health policy evaluation, health behavior, health promotion, digital health, health economics, health services research, healthcare interventions, yoga interventions, type 2 diabetes prevention, chronic disease management, stroke early supported discharge, geriatric care, mental health in older adults, clinical trials, epidemiology, nutrition and respiratory health, environmental health, occupational health, urban and rural health disparities, child health, adolescent health, health communication, health behavior change, health inequalities in England, healthcare databases, primary care research, healthcare quality improvement, healthcare workforce training, healthcare leadership, healthcare policy, healthcare evaluation, healthcare delivery, healthcare access, healthcare utilization, healthcare cost-effectiveness, healthcare data analysis, healthcare in the UK, England, Scotland, Yorkshire, London, British birth cohorts, UK primary care, NHS stop smoking services, UK smoking prevalence, English tobacco control policy, Irish tobacco control, French art, French colonialism, Paris, Louvre Museum, 19th-century French painting, French photography, Francophone Caribbean",no,,,No,"French art, French colonialism, Paris, Louvre Museum, 19th-century French painting, French photography",study
Yukio Lippit,Harvard,https://openalex.org/A5012826471,20,"Japanese art history, Painting, East Asian Art, Japanese art traditions, Religion & Sacred Art, Medieval Western Art, Visual Culture Studies, Early Modern Art, Architecture, Modernism, Film & Cinema, Craft & Vernacular Practices","Japanese art history, Japanese ink painting, Sesshū, Tawaraya Sōtatsu, Kano school, 17th-century Japanese painting, Japanese Zen Buddhism, Zen figure painting, Medieval Japanese art, Itō Jakuchū, Okakura Kakuzō, Japanese visual culture, Japanese bird-and-flower painting, Japanese art and foreign contact, Daitokuji monastery visual culture, Meiji period Japanese art, 19th-century Japanese art, Edo period art, Musō Soseki, Yi Am, Japanese architecture, Kenzō Tange, Japanese film history, Rensageki, Kinodrama, Japanese art criticism, Japanese art traditions, Japanese carpentry tools, Japanese painting techniques, Japanese art and Zen philosophy",no,,,No,,none
Carrie Lambert-Beatty,Harvard,https://openalex.org/A5028424724,11,"Performance Art, Conceptual Art, Art Theory & Aesthetics, Politics & Ideology in Art, Contemporary Art (21st century), Other / Uncategorized, Video Art, Mixed & Interdisciplinary Media","performance art, parafiction, plausibility, representation of performance, live art documentation, performance and photography, political art, Tania Bruguera, Gabriel Orozco, Paula Trope, Meninos, Terry Fox, children's video art, dance aesthetics, kinesthesia, agency in performance, Allora & Calzadilla, contemporary art, artistic collaboration, video art, artistic conversations, artistic questionnaires",no,,,No,,none
Patricio del Real,Harvard,https://openalex.org/A5068537848,21,"Latin American Art, Urbanism & City Planning, Other / Uncategorized, Architecture, Museum Studies, Design & Decorative Arts, Early 20th-Century Art, Postwar Art (1945–1970s), Iberian Art, Cultural Policy, Modernism, Exhibition History, Politics & Ideology in Art, Social History","Latin American architecture, urban studies, housing struggles, informal city, slums, architecture and design, Museum of Modern Art, MoMA exhibitions, modernist interiors, early modernism, postwar architecture, Latin American cities, urban geography, territory and place, architecture and poetry, industrial design, Iberian temperament, democracy and architecture, capital cultural, Amereida, poetic architecture, Latin American modernism, Buenos Aires, Havana, Cuba, Brazil, South America, 20th century architecture, architecture exhibitions, design worldmaking, architecture and politics, architecture and territory, architecture and urban life, architecture and informal settlements, architecture and cultural identity, architecture and social issues, architecture and museum studies",no,,,No,,none
Thomas B.F. Cummins,Harvard,https://openalex.org/A5005540468,31,"Latin American Art, Colonial & Imperial Art, Pre-Columbian art, Indigenous & Native Arts, Prehistoric & Ancient Art, Book Arts & Manuscripts, Museum Studies, Religion & Sacred Art, Literary and art intersections, Other / Uncategorized, Historiography of Art, Visual Culture Studies, Environmental & Ecological Art, Body, Identity & Representation, Postcolonial & Decolonial Studies, Anthropology & Ethnography of Art","Andean abstraction, colonial images, Quero vessels, native traditions, postconquest art, Inca art, Inca civilization, colonial Latin America, colonial Mexico, colonial Peru, manuscript cultures, Martín de Murúa, historia general del piru, J. Paul Getty Museum, Western discourses of idolatry, pre-Columbian art, literacy and power, dualism in Inca cosmology, Cuzco, Lima, Guamán Poma, Mudejar Americano, Christian divine imagery, native historical interpretation, Colombian Andes, South American native peoples, Aztec sculpture, Spanish colonial perspectives, agency in image production, Jama-Coaque figurines, coastal Ecuador, African and Afrodescendant art in Latin America, native identity alteration, colonial alteration of native identity, native image production, native memory and history, colonial Andean art, native narratives, native cosmology, native historical memory, native art and colonialism, native visual culture, native body and soul kinetics, pre-Columbian sculpture, Latin American art history, colonial art narratives, native peoples of the Americas, South America, 16th century Latin America, 17th century Latin America",no,,,No,,none
Christina Maranci,Harvard,https://openalex.org/A5064151424,40,"Architecture, Middle Eastern Art, Byzantine Art, Transnational Circulation, Medieval Western Art, Race & Black Visual Culture, Body, Identity & Representation, Other / Uncategorized, Art Theory & Aesthetics, Book Arts & Manuscripts, Heritage & Preservation, Historiography of Art, Postcolonial & Decolonial Studies, Power, Empire & Resistance, Religion & Sacred Art, Eastern European Art, Archaeology, Politics & Ideology in Art, Islamic Medieval Art, Late Antiquity, Academic Art Institutions, French Art & Culture","medieval Armenian architecture, Armenian art, Byzantine art, cross-cultural exchange, ecclesiastical architecture, church architecture, medieval architecture, architecture and race, nation and identity, Indo-European studies, Josef Strzygowski, Armenian illuminated manuscripts, medieval Caucasus art, Armenian cultural heritage, art historiography, art preservation, cultural appropriation, art and empire, Armenian rulers, medieval liturgical performance, Armenian night office, Ani (medieval Armenian city), Nagorno-Karabakh cultural heritage, Armenian ecclesiastical sites in Kars province, archaeology and reconstruction, art and politics, medieval Georgian art, Islamic architecture in Anatolia, art and religion, medieval art historiography, art and cultural identity, Turkey cultural heritage, fieldwork in art history, late antique Armenia, medieval art texts, Armenian reconsecration of churches, art history education, Armenia, Caucasus region, French language publications, French scholarship on Armenian art",yes,Université de Poitiers,Livre: 'Cultural Interactions in Medieval Georgia' (2022),No,"French language publications, French scholarship on Armenian art",both
Seth Estrin,Harvard,https://openalex.org/A5068557577,8,"Prehistoric & Ancient Art, Classical Antiquity, Sculpture, Gender & Feminist Art History, Body, Identity & Representation, Materiality in art, Visual Culture Studies, Other / Uncategorized, Iconography & Iconology, Archaeology & Anthropology of Art","ancient art, Greek sculpture, Roman sculpture, archaic sculpture, classical art, funerary monuments, gender studies, gender and identity, body representation, materiality, visuality, emotion in art, empathy, memory, color in classical art, ancient Greek funerary art, Attic funerary monuments, Macedonian tombstones, 5th to 1st century BC, elegy in art, archaic period, classical period, brother and sister stele, polyandrion, ancient Mediterranean, ancient Greek culture, ancient Roman culture",no,,,No,,none
Jennifer Roberts,Harvard,https://openalex.org/A5029535790,282,"Other / Uncategorized, Social History, Environmental & Ecological Art, Digital & New Media Art, War, Conflict & Memory, Body, Identity & Representation, Gender & Feminist Art History, Technology & Art, Urbanism & City Planning, British Art, Indigenous & Native Arts, Digital Humanities & Data Methods, Archives & Libraries, Graphic Arts & Illustration, Interdisciplinary Cultural Studies, Politics & Ideology in Art, Historiography of Art, Classical Antiquity, Prehistoric & Ancient Art","health economics, health state valuation, preference-based health measures, SF-36, SF-12, EQ-5D, SF-6D, health utility models, mental health, psychological wellbeing, gender differences in health, commuting and health, labour market and health, disability employment gap, early retirement, health shocks, public health interventions, hand hygiene campaigns, infectious disease control, hospital-acquired infections, clinical guidelines, NICE guidelines, healthcare spending, health policy, micro health insurance, poverty and health, economic growth and health, human capital, social capital, behavioural interventions, transport behaviour change, environmental concerns and commuting, digital empathy, empathy in interactive systems, posttraumatic stress disorder, trauma and disaster workers, World Trade Center attacks, cognitive performance, Alzheimer’s disease, histamine H3 receptor antagonists, preclinical pharmacology, autoradiography, neuropharmacology, animal models in neuroscience, 5-HT6 receptor, schizophrenia, antipsychotic drugs, glycine transporter, tachykinin receptors, immune cell peptides, epinephrine secretion, chromaffin cells, appendicitis, surgical outcomes, trauma surgery, emergency medicine, healthcare evaluation, healthcare utilization, healthcare quality, health inequalities, gender wage gap, gender role identity, psychological wellbeing and gender, labour market participation, social policy, quasi-markets in health, professionalism in healthcare, education and health, older workers’ health, part-time work and health, influenza vaccination, public health systems, healthcare data analysis, statistical methods in health economics, Bayesian methods, nonparametric methods, panel data analysis, time series analysis, econometrics, event study methodology, spatial analysis, urban geography, household location, English cities, British panel data, United Kingdom, England, Wales, UK healthcare, UK labour market, British health surveys, British social policy, British epidemiology, Irish health studies, Bangladesh health studies, African economic growth, African health, United States health studies, California American Indian reservations, tribal health, digital humanities, library science, digital storytelling, teacher librarianship, infographics, copyright in digital media, educational resources, community-engaged scholarship, legal and political change, social justice, sports gambling legalization, historical context in education, ancient Greek history, Gilgamesh, cancer knowledge exchange, Latino health, sexual aggression mapping, sexual violence in UK, healthcare professionalization, healthcare workforce, healthcare quality improvement, healthcare cost-effectiveness, healthcare resource utilization, healthcare epidemiology, healthcare infection control, healthcare policy evaluation, healthcare data sources, healthcare surveys, healthcare databases, healthcare bibliographic control, healthcare library procedures, healthcare digital tools, healthcare infographics, healthcare education, healthcare communication, healthcare social media, healthcare digital citizenship, healthcare privacy and safety, healthcare publishing, healthcare digital storytelling, healthcare digital literacy",no,,,No,,none
Ewa Lajer-Burcharth,Harvard,https://openalex.org/A5096907777,1,"Paris & Île-de-France, French Art & Culture, Urbanism & City Planning","Paris, French cities, urban history, French geography, French culture",no,,,Yes,"Paris, French cities, French geography, French culture",study
Ioli Kalavrezou,Harvard,https://openalex.org/A5087419423,19,"Byzantine Art, Late Antiquity, Religion & Sacred Art, Art Historiography, Book Arts & Manuscripts, European Art (General)","Byzantine art, Byzantine illuminated manuscripts, Byzantine women, Women in Byzantine history, Late Antiquity, Early Byzantine period, Religious iconography, Virgin Mary representations, Byzantine devotional practices, Byzantine reliquaries, Art historical methods, Visual culture of Byzantium, Byzantine cities, Byzantine elite women, Adornment in Byzantium, Marriage in Byzantine society, Health in Byzantine context, Byzantine manuscript studies, Vatican manuscripts, Vatican Library collections, Genoa, Byzantine peplos, Public devotion in Byzantium, Women’s roles in Byzantine art, Byzantine art exhibitions, Critique in Byzantine art",no,,,No,,none
Bissera Pentcheva,Stanford,https://openalex.org/A5060870287,55,"Byzantine Art, Medieval Western Art, Iconography & Iconology, Visual Culture Studies, Religion & Sacred Art, Art Theory & Aesthetics, Sound Art & Music, Middle Eastern Art, Performance Art, Architecture, Mediterranean Worlds, Religious & Sacred Art, Book Arts & Manuscripts, Power, Empire & Resistance, French Art & Culture","Byzantine art, medieval art, icons, iconography, sensory experience in art, ritual and art, multisensory aesthetics, aural studies in art, liturgical music, Hagia Sophia, Constantinople, Ottoman identity, Virgin Mary in art, Byzantine liturgy, medieval chant, sound and image, visual culture, religious art, performative images, medieval perception, medieval sacred space, phenomenology of light, gold in medieval art, medieval reliquaries, eunuchs in Byzantium, Byzantine iconoclasm, southern Italy medieval art, Santa Maria sopra Porta, monastery of Hosios Loukas, Venetian Crete art, Western medieval art, Conques Abbey, Saint Foy, Arvo Pärt, sound and ritual, transcendent visions, medieval embodiment, medieval temporality, Byzantine alterity, mixed-media relief icons, Byzantine processions, Byzantine consecration rites, medieval cosmic sound, medieval abstraction, Byzantine and Western art relations, medieval dance and ritual, visual textuality, medieval illuminated manuscripts, Byzantine and Ottoman cultural exchange, medieval art and power, French medieval art, Conques, Sainte-Foy, French Romanesque architecture, French liturgical chant",no,,,Yes,"French medieval art, French Romanesque architecture, French liturgical chant",study
Camille Utterback,Stanford,https://openalex.org/A5080045303,5,"Installation Art, Digital & New Media Art, Science, Technology & Art, Design & Decorative Arts, Other / Uncategorized, Mixed & Interdisciplinary Media, Contemporary Art (21st century), Academic Art Institutions","interactive installation art, new media art, digital art, interactive surfaces, interactive spaces, art and technology, design sketching, gameplay in art education, artistic perspectives on interactivity, contemporary art, art education, Camille Utterback",no,,,No,,none
Emanuele Lugli,Stanford,https://openalex.org/A5052786694,34,"Renaissance Art, Medieval Western Art, Historiography of Art, Other / Uncategorized, Art Theory & Aesthetics, Urbanism & City Planning, Archives & Libraries, Trade & Economic History, Italian Art & Architecture, Patronage & Sponsorship, Book Arts & Manuscripts, Design & Decorative Arts, Architecture, Museum Studies, Religion & Sacred Art, France (General), French Art & Culture, French urban studies","Renaissance art, Italian Renaissance, medieval art, art history, measurement systems, mathematics in art, urban history, cartography, map history, trading networks, Florence, Modena, Po Valley, 14th century Italy, 15th century Italy, 12th century Italy, 13th century Italy, Francesco di Giorgio Martini, Medici family, Federico Zeri, Botticelli, Pollaiuolo, Cesare Beccaria, Quattrocento, illustrated manuscripts, education in Renaissance, fashion history, urban form, building regulations, mathematical land, scale and size, connoisseurship, St Francis (artwork), Frick Collection, Lavinia Fontana, birth of the virgin, saints and relics, medieval Europe, British Museum, French cartography, France, French medieval maps, Guillotière, French urban history, French Renaissance, French art history",no,,,No,"Francesco di Giorgio Martini, French cartography, France, French medieval maps, French urban history, French Renaissance, French art history",study
Enrique Chagoya,Stanford,https://openalex.org/A5067355618,9,"Contemporary Art (21st century), Latin American Art, Migration & Diaspora, Other / Uncategorized, Textiles & Material Culture, Visual Culture Studies, Drawing & Printmaking, Colonial & Imperial Art","contemporary art, Latin American art, Manuel Ocampo, borderlands, migration and diaspora, illegal immigration, material culture, everyday life, non-linear narrative, visual culture, drawing, live model drawing, colonial history, Columbus, Mexican art",no,,,Yes,,study
Jamie Meltzer,Stanford,https://openalex.org/A5029129374,3,"Sound Art & Music, Science, Technology & Art, Other / Uncategorized","sound design, acoustic wave sensors, resonance surface acoustic waves, detonation wave dynamics, high resolution sensor technology, high speed response sensors",no,,,No,,none
Jody Maxmin,Stanford,https://openalex.org/A5082540713,4,"Classical Antiquity, Prehistoric & Ancient Art","ancient Greek art, Greek vase painting, ancient pottery, classical sculpture, Greek artists, Euphronios, Praxiteles, ancient Greek iconography, portraiture in ancient art, ancient ceramics, classical antiquity, ancient Greek visual culture",no,,,No,,none
Joshua I. Cohen,Stanford,https://openalex.org/A5028092998,24,"Science, Technology & Art, Digital & New Media Art, Other / Uncategorized, Body, Identity & Representation, Historiography of Art, Postcolonial & Decolonial Studies, Globalization and place, African Art & Diaspora, Modernism, Early 20th-Century Art, Politics & Ideology in Art, Iconography & Iconology, French Colonial & Imperial Contexts, Francophone Worlds, Transnational Circulation","machine learning in mental health, natural language processing, suicide risk prediction, adolescent therapy, depression and anxiety screening, multimodal dialog analysis, mental state characterization, art history, postcolonial studies, global art history, African art, Oceanic art, primitivism in modern art, early 20th-century art, Senghor, École de Dakar, Senegalese modern art, African socialist cultural policy, Senegal under Senghor, African arts in Western museums, Harlem Renaissance, African diaspora portraiture, modern African art, apartheid and art, Fodéba Keita, African and European art encounters, 20th-century art, recognition memory, event-related potentials, art signs and cultures, African diaspora, African masks, French colonialism, Francophone Africa, Senegal, 20th-century French art connections, African modernism, transnational art movements",no,,,Yes,"French colonialism, 20th-century French art connections",study
Karla Oeler,Stanford,https://openalex.org/A5068969171,18,"Film & Cinema, Other / Uncategorized, 19th-Century Art, Art Theory & Aesthetics","film studies, cinema theory, poetic cinema, cinematography, film genre, film noir, silent era cinema, Soviet cinema, Sergei Parajanov, Sergei Eisenstein, André Bazin, Jean-Luc Godard, Alfred Hitchcock, Nikolai Cherkasov, Ivan the Terrible film, French cinema, French film theory, Renoir, murder in film, narrative inconsistency, film montage, literature and film, Dostoevsky, Tolstoy, Franz Kafka, Robert Bresson, film sound, film lighting, Hollywood cinema, aerial cinematography, cinematic signs and meaning, cinematic horror, cinema and poetry, cinema and literature",no,,,No,"French cinema, French film theory",study
Marci Kwon,Stanford,https://openalex.org/A5037378950,11,"Modernism, Postwar Art (1945–1970s), American Art (United States), Japanese cultural trauma, Contemporary Art (21st century), Surrealism, Northern European Art, Baroque Art, Design & Decorative Arts, Museum Studies, Early 20th-Century Art, Sound Art & Music, Visual Culture Studies, Other / Uncategorized","American modernism, Joseph Cornell, Isamu Noguchi, Appalachian Spring, Japanese American internment, John Kane, Martin Wong, folk surrealism, BTS, Pieter Bruegel, Baroque art, modernist settings, museum studies, Museum of Modern Art, 20th-century American art, contemporary art, performance and music in art, surrealism, Asian American art, modernism and trauma, art and popular culture, no explicit French links",no,,,No,no explicit French links,study
Morehshin Allahyari,Stanford,https://openalex.org/A5085478059,8,"Digital & New Media Art, Design & Decorative Arts, Postcolonial & Decolonial Studies, Interdisciplinary Cultural Studies, Contemporary Art (21st century), Politics & Ideology in Art, Mixed & Interdisciplinary Media, Science, Technology & Art, Digital Humanities & Data Methods","digital art, 3d printing, additivism, digital decolonization, intercultural art collaboration, Iranian contemporary art, United States contemporary art, art censorship, creative production, digital colonialism, transmediale, new media art, technology and art, postcolonial studies, digital humanities",no,,,Yes,,study
Natalia Almada,Stanford,https://openalex.org/A5090289801,29,"Media Studies, Film & Cinema, Cultural History, Latin American Art, Politics & Ideology in Art, Other / Uncategorized, Art Theory & Aesthetics, Late 20th-Century Art, Literary and art intersections, Environmental & Ecological Art, Academic Art Institutions","media studies, film studies, cinema under dictatorship, cultural history, Latin American culture, Uruguayan culture, Pedro Figari, death penalty campaigns, Batllismo, nativism, interviews with writers, Bernardo Glücksman, forgotten filmmakers, Aníbal Barrios Pintos, forgotten voices, Daniel Vidart, tango, national narrative, early cinema, Carlos Gardel, aesthetic mediation, Felisberto Hernández, cultural magazines 1980s, literature and crime, Argentina-Spain ecological studies, natural ecosystem preservation, ethical living, farming practices, poultry farming, sustainable development, Entre Ríos region, economic simulation software, globe adventurers, interuniversity networks, Spanish studies, Uruguay, Argentina, Spanish language culture",no,,,No,,none
Patricia Blessing,Stanford,https://openalex.org/A5008076911,74,"Medieval Western Art, Islamic Medieval Art, Architecture, Textiles & Material Culture, Museum Studies, Middle Eastern Art, Mediterranean Worlds, Eastern European Art, Other / Uncategorized, Power, Empire & Resistance, Design & Decorative Arts, Urbanism & City Planning, Classical Antiquity, Religion & Sacred Art, Politics & Ideology in Art, Visual Culture Studies, Curatorial Practices, Early Christian Art, Byzantine Art, British Art, Materiality, Gender & Feminist Art History, Art Theory & Aesthetics, Historiography of Art, Transnational Circulation, French Art & Culture, Archives & Libraries, Book Arts & Manuscripts, French Art Institutions","medieval art, Islamic art, architecture, textile studies, material culture, museum studies, commemorative buildings, funerary architecture, Ottoman Empire, Seljuk architecture, Timurid architecture, Nasrid architecture, Anatolia, South Caucasus, Eastern Anatolia, Turkey, Istanbul, Konya, Bursa, Edirne, Mamluk Empire, Ilkhanid architecture, Mongol conquest, medieval monuments, architectural decoration, blue-and-white tiles, ceramics, architectural models, building techniques, urban history, urban landscapes, inscriptions, monumental inscriptions, Islamic funerary complexes, Islamic arms and armor, ornamental geometry, interlocking figures, architectural representation, immersion in space, royal space, court ceremonial, material politics, sensory perception, textile materiality, fiber fragments, museum displays, museum collections, museum curation, medieval textiles, medieval Anatolia, medieval Eurasia, medieval Mediterranean cities, medieval Islamic architecture, medieval Christian architecture, Christian holy family, Islamic holy family, Kaʿba, Hagia Sophia, Alhambra, Alhambra vases, Salerno ivories, British Orientalism, early globalisms, material histories, noise-induced hearing loss, women patrons, Māhbarī Khātūn, Ṣāḥib ʿAṭā Fakhr al-Dīn ʿAlī, Māhperī Khātūn, Yıldız Palace, Donald N. Wilber, Kurt Erdmann, Ernst Diez, Friedrich Sarre, David G. Alexander, Stuart W. Pyhrr, Will Kwiatkowski, Nicolas Trépanier, Patricia Blessing, Olga Bush, Gülru Necipoğlu, Alpay Özdural, Jan P. Hogendijk, Elaheh Kheirandish, Wheeler M. Thackston, Deniz Türker, medieval Anatolian mosques, medieval Anatolian mausoleums, medieval Anatolian palaces, medieval Anatolian urban space, medieval Anatolian inscriptions, medieval Anatolian tile decoration, medieval Anatolian stucco, medieval Anatolian architectural style, medieval Anatolian architectural history, medieval Anatolian architectural politics, medieval Anatolian architectural mobility, medieval Anatolian architectural transfer, medieval Anatolian architectural scale, medieval Anatolian architectural empire, medieval Anatolian architectural horizons, medieval Anatolian architectural aesthetics, medieval Anatolian architectural poetics, medieval Anatolian architectural politics, medieval Anatolian architectural materiality, medieval Anatolian architectural sensory perception, medieval Anatolian architectural commemoration, medieval Anatolian architectural funerary complexes, medieval Anatolian architectural royal space, medieval Anatolian architectural court ceremonial, medieval Anatolian architectural inscriptions, medieval Anatolian architectural monumental inscriptions, medieval Anatolian architectural Islamic art, medieval Anatolian architectural Christian art, medieval Anatolian architectural Islamic-Christian exchange, medieval Anatolian architectural Mediterranean cities, medieval Anatolian architectural Mediterranean art, medieval Anatolian architectural Mediterranean architecture, medieval Anatolian architectural Mediterranean urban space, medieval Anatolian architectural Mediterranean monuments, medieval Anatolian architectural Mediterranean styles, medieval Anatolian architectural Mediterranean decoration, medieval Anatolian architectural Mediterranean ceramics, medieval Anatolian architectural Mediterranean textiles, medieval Anatolian architectural Mediterranean poetics, medieval Anatolian architectural Mediterranean politics, medieval Anatolian architectural Mediterranean sensory perception, medieval Anatolian architectural Mediterranean commemoration, medieval Anatolian architectural Mediterranean funerary complexes, medieval Anatolian architectural Mediterranean royal space, medieval Anatolian architectural Mediterranean court ceremonial, medieval Anatolian architectural Mediterranean inscriptions, medieval Anatolian architectural Mediterranean monumental inscriptions, medieval Anatolian architectural Mediterranean Islamic art, medieval Anatolian architectural Mediterranean Christian art, medieval Anatolian architectural Mediterranean Islamic-Christian exchange, French art, Bibliothèque nationale de France, French manuscripts, French institutions",no,,,Yes,"French art, Bibliothèque nationale de France, French manuscripts, French institutions",study
Paul DeMarinis,Stanford,https://openalex.org/A5026974320,7,"Sound Art & Music, Other / Uncategorized, Media Studies, Experimental & Hybrid Practices, Contemporary Art (21st century), Exhibition History","sound art, sound reproduction, audio preservation, media archaeology, experimental art, contemporary art, artist retrospectives, Paul Demarinis, Jim Pomeroy",no,,,Yes,,study
Pavle Levi,Stanford,https://openalex.org/A5042572294,12,"Film & Cinema, Visual Culture Studies, Other / Uncategorized, Politics & Ideology in Art, Eastern European Art, Contemporary Art (21st century)","film studies, cinema studies, Eastern European cinema, post-Yugoslav cinema, inter-ethnic relations in film, screen cultures, film form, cinema and politics, exile and displacement in film, Central European University, European internal exile, protest and activism in academia, written cinema, analytic approaches to cinema, Eastern Europe, post-socialist cultural studies",no,,,No,,none
Richard Vinograd,Stanford,https://openalex.org/A5030134515,21,"East Asian Art, Other / Uncategorized, Museum Studies, Early 20th-Century Art, Art Theory & Aesthetics, Transnational Circulation","Chinese art, Chinese painting, Chinese calligraphy, Chinese gardens, Chinese portraits, Ming dynasty art, Song dynasty painting, Yuan dynasty painting, Tang Yin, Wang Meng, Luo Ping, Chao Meng-fu, Northern Song court painting, Traditional Chinese scholar painting, Chinese landscape painting, Blue-and-green manner, Chinese art collections, Nelson Gallery-Atkins Museum, Cleveland Museum of Art, Shanghai pictorials 1920s-1930s, Chinese art classification, Art history theory, Art canon and genre, Eremitism in Chinese art, Chinese art and culture, Chinese figure painting, Chinese multi-medium art, Chinese art and power, Chinese court arts, Chinese art imaginary, Chinese art scholarship, US-China scholarly exchange, Han studies, Chinese art in 20th century, Chinese art and dream-world",no,,,No,,none
